run_id,image_name,corruption_mode,corruption_ratio,mode,psnr,ssim,rse,runtime_s,output_ok,notes
2026-04-12_run_052,lena,random_pixel,0.3,direct_answer,20.5233,0.5625,0.1748,14.8724,1,source=skimage:astronaut
2026-04-12_run_052,lena,random_pixel,0.7,direct_answer,13.0882,0.2694,0.4115,15.8182,1,source=skimage:astronaut
2026-04-12_run_052,lena,center_block,0.35,direct_answer,14.3309,0.6970,0.3566,14.3184,1,source=skimage:astronaut
2026-04-12_run_052,lena,text,0.3,direct_answer,28.8651,0.9619,0.0669,15.5321,1,source=skimage:astronaut
2026-04-12_run_052,barbara,random_pixel,0.3,direct_answer,29.4335,0.8981,0.0750,15.5543,1,source=skimage:brick
2026-04-12_run_052,barbara,random_pixel,0.7,direct_answer,21.7189,0.5795,0.1824,15.4056,1,source=skimage:brick
2026-04-12_run_052,barbara,center_block,0.35,direct_answer,19.2680,0.7603,0.2418,14.3999,1,source=skimage:brick
2026-04-12_run_052,barbara,text,0.3,direct_answer,36.5561,0.9848,0.0330,16.4651,1,source=skimage:brick
2026-04-12_run_052,peppers,random_pixel,0.3,direct_answer,23.1094,0.6368,0.1507,15.4923,1,source=skimage:coffee
2026-04-12_run_052,peppers,random_pixel,0.7,direct_answer,15.2643,0.3261,0.3719,15.7620,1,source=skimage:coffee
2026-04-12_run_052,peppers,center_block,0.35,direct_answer,16.8543,0.7341,0.3097,14.0323,1,source=skimage:coffee
2026-04-12_run_052,peppers,text,0.3,direct_answer,30.3754,0.9699,0.0653,16.1937,1,source=skimage:coffee
2026-04-12_run_052,cameraman,random_pixel,0.3,direct_answer,21.3495,0.4603,0.1468,14.7435,1,source=skimage:camera
2026-04-12_run_052,cameraman,random_pixel,0.7,direct_answer,13.4740,0.2204,0.3635,14.8088,1,source=skimage:camera
2026-04-12_run_052,cameraman,center_block,0.35,direct_answer,13.4256,0.7004,0.3656,13.3947,1,source=skimage:camera
2026-04-12_run_052,cameraman,text,0.3,direct_answer,29.1733,0.9580,0.0596,15.9400,1,source=skimage:camera
2026-04-12_run_053,lena,random_pixel,0.3,plain_guidance,20.5233,0.5625,0.1748,15.0220,1,source=skimage:astronaut
2026-04-12_run_053,lena,random_pixel,0.7,plain_guidance,13.0882,0.2694,0.4115,15.4812,1,source=skimage:astronaut
2026-04-12_run_053,lena,center_block,0.35,plain_guidance,14.3309,0.6970,0.3566,13.9102,1,source=skimage:astronaut
2026-04-12_run_053,lena,text,0.3,plain_guidance,28.8651,0.9619,0.0669,15.0531,1,source=skimage:astronaut
